key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,pr
ANTIDOTE_NAME,Antidote,Antidote,Antidoto,どくけし,해독제,Antídoto,Antídoto,Antídoto,Antidotum,Gegengift,Противоядие,Протиотрута,
ANTIDOTE_DESC,Cures poison ([Poisoned]).,Guérit du poison ([Poisoned]).,Guarisce l'avvelenamento ([Poisoned]).,[Poisoned]どくを　すばやく　けしさります。,중독([Poisoned])을 회복한다.,Cura el envenenamiento ([Poisoned]).,Cura el envenenamiento ([Poisoned]).,Cura envenenamento ([Poisoned]).,Leczy zatrucie ([Poisoned]).,Heilt Vergiftung ([Poisoned]).,Лечит от отравления ([Poisoned]).,Лікує отруєння ([Poisoned]).,
ANTIDOTE_ART,"The ,the ,An ,an ,this ,it,was","L',l',Un ,un ,cet ,,on,votre ,le ,d',a","L',l',Un ,un ,questo ,o,uo,il",,"는,가,를,와,로","El ,el ,Un ,un ,este ,o,,","El ,el ,Un ,un ,este ,o,,","O ,o ,Um ,um ,esse ,este ,o,seu ,foi",",Antidotum,Antidotum,Antidotum,o","Das ,das ,Ein ,ein ,ein ,Das ,das ,Dein ,dein ,dieses ,es,altes,wurde,war","противоядие,противоядия,противоядию,противоядие,противоядии,,о,ено,ось,ит,его","протиотрута,протиотрути,протиотруті,протиотруту,,,ла,а,е,ить,її",
ASTHMASPRAY_NAME,Asthma Spray,Inhalateur,Inalatore,ぜんそくスプレー,천식 스프레이,Inhalador,Inhalador,Inalador,Sprej na Astmę,Asthmaspray,Ингалятор,Інгалятор,
ASTHMASPRAY_DESC,"When [Ninten]'s asthma ([Asthma]) kicks in, use this.",À utiliser si [Ninten] est pris d'une crise d'asthme ([Asthma]).,Usalo quando [Ninten] ha un attacco d'asma ([Asthma]).,[Ninten]が　[Asthma]ぜんそくになったら\nこれをつかって！,[Ninten]의 천식([Asthma])이 재발했을 때 사용해!,Úsalo cuando [Ninten] tenga un ataque de asma ([Asthma]).,Úsalo cuando a [Ninten] le dé un ataque de asma ([Asthma]).,"Quando o [Ninten] tiver uma crise de asma ([Asthma]), use isso.","Użyj tego, gdy [Ninten] dostanie ataku astmy ([Asthma]).","Benutze es, wenn das Asthma ([Asthma]) bei [Ninten] zuschlägt.","Воспользуйся им, если у [ru_decl:Ninten:M:1] начнётся приступ астмы ([Asthma]).","Скористуйся ним, якщо у [uk_decl:Ninten:M:1] почнеться астматичний напад ([Asthma]).",
ASTHMASPRAY_ART,"The ,the ,An ,an ,this ,it,was","L',l',Un ,un ,cet ,,on,votre ,le ,d',a","L',l',Un ,un ,questo ,o,uo,il",,"는,가,를,와,로","El ,el ,Un ,un ,este ,o,,","El ,el ,Un ,un ,este ,o,,","O ,o ,Um ,um ,esse ,este ,o,seu ,foi",",Spreju na Astmę,Sprejowi na Astmę,Sprej na Astmę,","Das ,das ,Ein ,ein ,ein ,Das ,das ,Dein ,dein ,dieses ,es,altes,wurde,war","ингалятор,ингалятора,ингалятору,ингалятор,ингаляторе,,,ён,ся,ит,его","інгалятор,інгалятора,інгалятору,інгалятор,,,в,ий,е,ить,його",
BASEBALLCAP_NAME,Baseball Cap,Casquette de baseball,Cappello da Baseball,やきゅうぼう,야구 모자,Gorra de béisbol,Gorra de béisbol,Boné de Beisebol,Czapka Baseballowa,Baseballmütze,Бейсболка,Бейсболка,
BASEBALLCAP_DESC,A hat for baseball players.\nOther @ Defense +[ItemValue].,Un couvre-chef pour les joueurs de baseball.\nAutre @ Défense +[ItemValue].,Un cappello per giocatori di baseball.\nAltro @ Difesa +[ItemValue].,やきゅうしょうねんの　ためのぼうし。\nそのた＠ディフェンス＋[ItemValue],야구 선수들을 위한 모자.\n기타 ＠ 디펜스 +[ItemValue].,Una gorra para jugadores de béisbol.\nOtro @ Defensa +[ItemValue].,Una gorra para jugadores de béisbol.\nOtro @ Defensa +[ItemValue].,Um chapéu para jogadores de beisebol.\nOutro @ Defesa +[ItemValue].,Czapka dla graczy baseballa.\nInne @ Obrona +[ItemValue].,Eine Mütze für Baseball-Spieler.\nAnderes @ Verteidigung +[ItemValue].,Кепка бейсболиста.\nПрочее @ Защита +[ItemValue].,Кепка бейсболіста.\nІнше @ Захист +[ItemValue].,
BASEBALLCAP_ART,"The ,the ,A ,a ,this ,it,was","La ,la ,Une ,une ,cette ,e,a,votre ,la ,de ,a","Il ,il ,Un ,un ,questo ,o,uo,il",,"는,가,를,와,로","La ,la ,Una ,una ,esta ,a,,","La ,la ,Una ,una ,esta ,a,,","O ,o ,Um ,um ,esse ,este ,o,seu ,foi",",Czapki Baseballowej,Czapce Baseballowej,Czapkę Baseballową,a","Die ,die ,Eine ,eine ,eine ,Die ,die ,Deine ,deine ,diese ,sie,alte,wurde,war","бейсболка,бейсболки,бейсболке,бейсболку,бейсболке,,а,ена,ась,ит,её","бейсболка,бейсболки,бейсболці,бейсболку,,,ла,а,е,ить,її",
BATALUMINUM_NAME,Aluminum Bat,Batte robuste,Mazza di alluminio,いいバット,알루미늄 배트,Bate de aluminio,Bate de aluminio,Taco de Alumínio,Aluminiowy Kij,Aluminium-Schläger,Алюминиевая бита,Алюмінієва бита,
BATALUMINUM_DESC,,,,,,,,,,,,,
