key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk
ALARMGHOST_NAME,Alarm Ghost,Fantôme S.O.S.,Fantallarme,アラームゴースト,알람 고스트,Fantasma alarma,Fantasma asustador,Fantasma Alarmante,Duch Alarmowy,Alarmgeist,Призрак-зазывала,Привид-сторож
ALARMGHOST_DESC,"Don't alarm this ghost, he has friends!","Attention, il peut envoyer un S.O.S. à ses amis ¦","Attenzione! Se allarmato, chiama i suoi amici!",おどろくと　なかまを　よぶぞ！,울리면 친구들을 데려올 거다!,"¡No alarmes a este fantasma, tiene amigos!","¡No asustes a este fantasma, tiene amigos!","Não alarme esse fantasma, ele tem amigos!","Nie alarmuj tego ducha, on ma przyjaciół!",Alarmiere nicht diesen Geist! Er hat Freunde.,"Не тревожь этого призрака, у него есть друзья!","Не турбуй цього привида, у нього є друзі!"
ALARMGHOST_ART,"The ,the ,An ,an ,its","Le ,le ,Un ,un ,du ,au ,,le ,x","Il ,il ,Un ,un ,del ,al ,o,il ",,"는,가,를,와,로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ","jego,Ducha Alarmowego,Duchowi Alarmowemu,Ducha Alarmowego,,y","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Alarmgeist,Alarmgeists,Alarmgeist,Alarmgeist","призрак-зазывала,призрака-зазывалы,призраку-зазывале,призрака-зазывалу,призраке-зазывале,,,ён,ся,ет,его","привид-сторож,привида-сторожа,привиду-сторожу,привида-сторожа,привиді-сторожі,,в,ий,е,ить,його"
ALLIGATOR_NAME,Alligator,Crocodile,Alligatore,ワニ,악어,Caimán,Caimán,Jacaré,Aligator,Alligator,Аллигатор,Алігатор
ALLIGATOR_DESC,Don't accept his invitation to dinner.,Déclinez toujours les invitations à dîner d'un crocodile.,Rifiuta sempre l'invito a cena di un alligatore.,ワニに　しょくじに　さそわれても\nおことわり　しなさい。,악어의 식사 초대를 받지 마라.,No aceptes su invitación a cenar.,No aceptes su invitación para cenar.,Não aceite o seu convite para jantar.,Nie przyjmuj jego zaproszenia na kolację.,Geh nicht auf seine Essenseinladung ein.,Не смей приходить к нему на ужин.,
ALLIGATOR_ART,"The ,the ,An ,an ,its","Le ,le ,Un ,un ,du ,au ,,le ,x","L',l',Un ,un ,dell',all',o,il ",,"는,가,를,와,로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ","jego,Aligatora,Aligatorowi,Aligatora,,y","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Alligator,Alligators,Alligator,Alligator","аллигатор,аллигатора,аллигатору,аллигатора,аллигаторе,,,ён,ся,ет,его","алігатор,алігатора,алігатору,алігатора,алігаторі,,в,ий,е,ить,його"
ANTOID_NAME,Antoid,Fourmioïde,Formicoide,アリアリ,개미개미,Hormigoide,Hormigoide,Formigoide,Mrówkoid,Ameisoid,Мураш,Мурахойд
ANTOID_DESC,"They're small, quick and they attack in teams.",Ils sont petits et rapides et ils attaquent en groupe.,Sono piccoli e agili. Attaccano in gruppo.,ちいさくて　はやくて　しゅうだんこうげきをしてくる。,"작지만, 빠르고 다 같이 공격한다.","Son pequeños, rápidos y atacan en grupitos.","Son pequeños, rápidos y atacan en grupo.","São pequenos, rápidos e atacam em grupo.","Są małe, szybkie i atakują w grupach.","Sie sind klein, schnell und greifen in Gruppen an.","Мелкий и шустрый, нападает колониями.",
ANTOID_ART,"The ,the ,An ,an ,its","La ,la ,Une ,une ,de la ,à la ,e,la ,se","Il ,il ,Un ,un ,del ,al ,o,il ",,"는,가,를,와,로","El ,el ,Un ,un ,del ,al ,o,el ","El ,el ,Un ,un ,del ,al ,o,el ","O ,o ,Um ,um ,o,seu ","jego,Mrówkoida,Mrówkoidowi,Mrówkoida,,y","Der ,der ,Ein ,ein ,sein,den ,ihn,vom,,,Ameisoid,Ameisoiden,Ameisoiden,Ameisoiden","мураш,мураша,мурашу,мураша,мураше,,,ён,ся,ет,его","мурахойд,мурахойда,мурахойду,мурахойда,мурахойді,,в,ий,е,ить,його"
ARMOR_NAME,Armor,Armure,Armatura,カッチュウ,갑주,Armadura,Armadura,Armadura,Zbroja,Rüstung,Доспехи,Обладунки
