key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk
CREDITS_TITLE,MOTHER ENCORE STAFF CREDITS,MOTHER ENCORE,MOTHER ENCORE,MOTHER ENCORE STAFF CREDITS,MOTHER ENCORE,MOTHER ENCORE,MOTHER ENCORE,MOTHER ENCORE,MOTHER ENCORE,MOTHER ENCORE,НАД MOTHER ENCORE РАБОТАЛИ:,НАД MOTHER ENCORE ПРАЦЮВАЛИ:
CREDITS_CREATOR,PROJECT CREATOR,CRÉATEUR DU PROJET,CREATORE DEL PROGETTO,PROJECT CREATOR,PROJECT CREATOR,CREADOR DEL PROYECTO,CREADOR DEL PROYECTO,CRIADOR DO PROJETO,TWÓRCA PROJEKTU,PROJEKTGRÜNDER,СОЗДАТЕЛЬ ПРОЕКТА,АВТОР ПРОЄКТУ
CREDITS_DIRECTOR,DIRECTOR,DIRECTEUR,DIRETTORE,DIRECTOR,DIRECTOR,DIRECTOR,DIRECTOR,DIRETOR,REŻYSER,REGISSEUR,РЕЖИССЁР,РЕЖИСЕР
CREDITS_PROGRAMMERS,PROGRAMMERS,PROGRAMMEURS,PROGRAMMATORI,PROGRAMMERS,PROGRAMMERS,PROGRAMADORES,PROGRAMADORES,PROGRAMADORES,PROGRAMIŚCI,PROGRAMMIERER,ПРОГРАММИСТЫ,ПРОГРАМІСТИ
CREDITS_ARTISTS_NPC,NPC SPRITE ARTISTS,GRAPHISME PNJ,ARTISTI DEGLI SPRITE DEGLI NPC,NPC SPRITE ARTISTS,NPC SPRITE ARTISTS,ARTISTAS DE SPRITE NPCS,ARTISTAS DE SPRITE NPCS,ARTISTAS DE SPRITES DE NPCS,ARTYŚCI SPRITE'ÓW NPC,NPC SPRITES,ХУДОЖНИКИ НЕИГР. ПЕРСОНАЖЕЙ,ХУДОЖНИКИ СПРАЙТІВ ПЕРСОНАЖІВ
CREDITS_ANIM_CHARA,CHARACTER ANIMATORS,ANIMATION DES PERSONNAGES,ANIMATORI DEI PERSONAGGI,CHARACTER ANIMATORS,CHARACTER ANIMATORS,ANIMADORES DE PERSONAJES,ANIMADORES DE PERSONAJES,ANIMADORES DE PERSONAGENS,ANIMATORZY POSTACI,CHARAKTERANIMATOREN,АНИМАТОРЫ ПЕРСОНАЖЕЙ,АНІМАТОРИ ПЕРСОНАЖІВ
CREDITS_ANIM_EFFECTS,EFFECTS ANIMATORS,ANIMATION DES EFFETS,ANIMATORI DEGLI EFFETTI,EFFECTS ANIMATORS,EFFECTS ANIMATORS,ANIMADORES DE EFECTOS,ANIMADORES DE EFECTOS,ANIMADORES DE EFEITOS,ANIMATORZY EFEKTÓW,EFFEKTANIMATOREN,АНИМАТОРЫ ВИЗУАЛ. ЭФФЕКТОВ,АНІМАТОРИ ВІЗУАЛ. ЕФЕКТІВ
CREDITS_ARTISTS_BATTLEBG,BATTLE BACKGROUND ARTISTS,GRAPHISME ARRIÈRE-PLANS DE COMBAT,ARTISTI DEGLI SFONDI DI BATTAGLIA,BATTLE BACKGROUND ARTISTS,BATTLE BACKGROUND ARTISTS,ARTISTAS DE FONDOS DE BATALLA,ARTISTAS DE FONDOS DE BATALLA,ARTISTAS DE FUNDO DE BATALHA,ARTYŚCI TŁA BITEWNEGO,KAMPFHINTERGRÜNDE,ДИЗАЙНЕРЫ ФОНОВ БИТВ,ДИЗАЙНЕРИ ФОНІВ БИТВ
CREDITS_DESIGN_MAPS,MAP DESIGNERS,CONCEPTION DES TERRAINS,DESIGNER DELLA MAPPA,MAP DESIGNERS,MAP DESIGNERS,DISEÑADORES DE MAPA,DISEÑADORES DEL MAPA,DESIGNERS DE MAPA,PROJEKTANCI MAP,LEVEL-DESIGNER,ЛЕВЕЛ-ДИЗАЙНЕРЫ,ЛЕВЕЛ-ДИЗАЙНЕРИ
CREDITS_ARTISTS_ILLUSTRATION,ILLUSTRATION ARTISTS,ILLUSTRATEURS,ILLUSTRATORI,ILLUSTRATION ARTISTS,ILLUSTRATION ARTISTS,ILUSTRADORES,ILUSTRADORES,ILUSTRADORES,ARTYŚCI ILUSTRACJI,ILLUSTRATIONEN,ИЛЛЮСТРАТОРЫ,ІЛЮСТРАТОРИ
